H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
C++ ,Encapsulation,"Encapsulation,Access Private Members,Why Encapsulation?",Example,"The meaning of ,, is to make sure that 
""sensitive"" data is hidden from users. To achieve this, you must declare class variables/attributes as , (cannot 
be accessed from outside the class). If you want others to read or modify the 
value of a private member, you can provide public , and 
, methods.,To access a private attribute, use public ""get"" and ""set"" methods:,The , attribute is ,, 
which have restricted access.,The public , method takes a parameter (,) and assigns it to the
, attribute (salary = s).,The public , method returns the value of 
the private , attribute.,Inside ,, we create an object of the , class. Now we can use the 
, method to set the value of the 
private attribute to ,. Then we call the 
, method on the object to return the value.","It is considered good practice to declare your class attributes as private (as 
often as you can). Encapsulation ensures better control of your data, 
because you (or others) can change one part of the code without affecting other parts,Increased security of data",,
C++ ,If ... Else,"C++ Conditions and If Statements,The if Statement","Syntax,Example,Example","C++ supports the usual logical conditions from mathematics:,You can use these conditions to perform different actions for different decisions.,C++ has the following conditional statements:,Use the , statement to specify a block of 
C++ code to be executed if a condition is ,.,In the example below, we test two values to find out if 20 is greater than 
18. If the condition is ,, print some text:,We can also test variables:,In the example above we use two variables, , and ,, 
to test whether x is greater than y 
(using the , operator). As x is 20, and y is 18, and we know that 20 is greater than 18, we print to the screen that ""x is greater than y"".","Less than: ,Less than or equal to: ,Greater than: ,Greater than or equal to: ,Equal to ,Not Equal to: ,Use , to specify a block of code to be executed, if a specified condition is true,Use , to specify a block of code to be executed, if the same condition is false,Use , to specify a new condition to test, if the first condition is false,Use , to specify many alternative blocks of code to be executed",,
C++ ,Exceptions,"C++ Exceptions,C++ try and catch,Handle Any Type of Exceptions (...)","Example,Example,Example,Example,Example","When executing C++ code, different errors can occur: coding errors made by the programmer, errors due to wrong input, 
or other unforeseeable things.,When an error occurs, C++ will normally stop and generate an error message. The technical term for this is: C++ will throw an , (throw an error).,Exception handling in C++ consist of three keywords: ,, , and ,:,The , statement allows you to define a block of code to be 
tested for errors while it is being executed.,The , keyword throws an exception when a 
problem is detected, which lets us create a custom error.,The , statement allows you to define a block of code to 
be executed, if an error occurs in the try block.,The , and , keywords 
come in pairs:,Consider the following example:,We use the , block to test some code: If the , variable is less than ,, we will , an exception, and handle it in our , block.,In the , block, we catch the error and 
do something about it. The , 
statement takes a ,: in our example we use an , variable (,) (because we are throwing an exception of , type in the , block (,)), 
to output the value of ,.,If no error occurs (e.g. if , is , instead of ,, 
meaning it will be be greater 
than 18), the , block is skipped:,You can also use the , keyword to output a reference number, like a 
custom error number/code for organizing purposes:,If you do not know the , , used in the , block, you can use the ""three dots"" syntax (,) inside the , block, which will handle any type of exception:",,,
C++ ,Booleans,"C++ Booleans,Boolean Values",Example,"Very often, in programming, you will need a data type that can only have one of two values, like:,For this, C++ has a , data type, which can take the values , 
(1) or , (0).,A boolean variable is declared with the , keyword and can only take the values , or ,:,From the example above, you can read that a , value returns ,, and , returns ,.,However, it is more common to return boolean values from boolean expressions
(see next page).","YES / NO,ON / OFF,TRUE / FALSE",,
C++ ,Files,"C++ Files,Create and Write To a File,Read a File","Example,Example,Example","The , library allows us to work with files.,To use the , library, include both the standard , , the , header file:,There are three classes included in the , library, 
which are used to create, write or read files:,To create a file, use either the , or , class, 
and specify the name of the file.,To write to the file, use the insertion operator (,).,To read from a file, use either the , or , 
class, and the name of the file.,Note that we also use a , loop together with the , function 
(which belongs to the , class) to read the file line by line, and to print the content of the file:",,,
C++ ,Polymorphism,Polymorphism,"Example,Example","Polymorphism means ""many forms"", and it occurs when we have many classes that are related to each other by inheritance.,Like we specified in the previous chapter; 
, lets us 
inherit attributes and methods from another class. , 
uses those methods to perform different tasks. This allows us to perform a single 
action in different ways.,For example, think of a base class called , that has a method called ,. Derived classes of Animals could be Pigs, Cats, Dogs, Birds - And they also have their own implementation of an animal sound (the pig oinks, and the cat meows, etc.):,Now we can create , and , objects and override the , method:",,,
C++ ,Strings,C++ Strings,"Example,Example","Strings are used for storing text.,A , variable contains a collection of characters surrounded by double quotes:,To use strings, you must include an additional header file in the source 
code, the , library:",,,
C++ ,Data Types,"C++ Data Types,Basic Data Types",Example,"As explained in the , chapter, a variable in C++ must be a specified data type:,The data type specifies the size and type of information the variable will store:",,,
C++ ,Operators,"C++ Operators,Arithmetic Operators","Example,Example","Operators are used to perform operations on variables and values.,In the example below, we use the
, , to add together two values:,Although the , operator is often used to add together two values, like in the example above, it can also be used to add together a variable and a value, or a variable and another variable:,C++ divides the operators into the following groups:,Arithmetic operators are used to perform common mathematical operations.",Bitwise operators,,
C++ ,Math,"C++ Math,Max and min,C++  <cmath> Header,Other Math Functions","Example,Example,Example","C++ has many functions that allows you to perform mathematical tasks on numbers.,The , function can be used to find the highest value of , and
,:,And the , function can be used to find the lowest value of 
, 
and ,:,Other functions, such as , (square root), , (rounds a number) and , 
(natural logarithm), can be found in the , header 
file:,A list of other popular Math functions (from the , library) can be found in the table below:",,,
C++ ,Getting Started,"C++ Get Started,C++ Install IDE,C++ Quickstart,Learning C++ At W3Schools",myfirstprogram.cpp,"To start using C++, you need two things:,There are many text editors and compilers to choose from. In this tutorial, we 
will use an IDE (see below).,An IDE (Integrated Development Environment) is used to edit AND compile the code.,Popular IDE's include Code::Blocks, Eclipse, and Visual Studio.  These are all 
free, and they can be used to both edit and debug C++ code., Web-based IDE's can work as well, but functionality is limited.,We will use , in our tutorial, which we believe is a good place to start.,You can find the latest version of Codeblocks at ,. 
Download the , file, which will install the text editor with 
a compiler. ,Let's create our first C++ file.,Open Codeblocks and go to ,.,Write the following C++ code and save the file as , (,):,Don't worry if you don't understand the code above - we will discuss it in detail in later chapters. For now, focus on how to run the code.,In Codeblocks, it should look like this:,Then, go to , to run (execute) the program. The result will look something to this:,! You have now written and executed your first C++ program.,When learning C++ at W3Schools.com, you can use our ""Try it Yourself"" tool, which shows both the code and the result. This will make it easier for 
you to understand every part as we move forward:","A text editor, like Notepad, to write C++ code,A compiler, like GCC, to translate the C++ code into a language that 
the computer will understand",,
C++ ,User Input,"C++ User Input,Creating a Simple Calculator","Example,Example","You have already learned that , is used to output (print) values. Now we will use , to get user input., is a predefined variable that reads data from the keyboard with the extraction operator (,).,In the following example, the user can input a number, which is stored in the 
variable ,. Then we print the value of ,:,In this example, the user must input two numbers. Then we print the 
sum by calculating (adding) the two numbers:,There you go! You just built a basic calculator!",,,
C++ ,Output (Print Text),C++ Output (Print Text),"Example,Example","The , object, together with the , 
operator, is used to output values/print text:,You can add as many , objects as you want. However, note that it does not insert a new line at the end of the output:",,,
C++ ,Introduction,"What is C++?,Why Use C++,Get Started",,"C++ is a cross-platform language that can be used to create high-performance applications.,C++ was developed by Bjarne Stroustrup, as an extension to the C language.,C++ gives programmers a high level of control over system resources and memory.,The language was updated 3 major times in 2011, 2014, and 2017 to C++11, C++14, and  C++17.,C++ is one of the world's most popular programming languages.,C++ can be found in today's operating systems, Graphical User Interfaces, and embedded systems.,C++ is an object-oriented programming language which gives a clear structure to programs and allows code to be reused, lowering development costs.,C++ is portable and can be used to develop applications that can be adapted to multiple platforms.,C++ is fun and easy to learn!,As C++ is close to ,, it makes it easy for programmers to switch to C++ or vice versa,This tutorial will teach you the basics of C++.,It is not necessary to have any prior programming experience.",,,
C++ ,Comments,"C++ Comments,Single-line Comments,C++ Multi-line Comments","Example,Example,Example","Comments can be used to explain C++ code, and to make it more readable. It can also be used to 
prevent execution when testing alternative code. Comments can be singled-lined or multi-lined.,Single-line comments start with two forward slashes (,).,Any text between , and the end of the line 
is ignored by the compiler (will not be executed).,This example uses a single-line comment before a line of code:,This example uses a single-line comment at the end of a line of code:,Multi-line comments start with , and ends with ,.,Any text between , and , will be ignored by 
the compiler:",,,
C++ ,Syntax,"C++ Syntax,Omitting Namespace","Example,Example","Let's break up the following code to understand it better:, , is a 
, that lets us work with input and output objects, such as 
, (used in line 5). Header files add functionality to C++ programs., , 
means that we can use names for objects and variables from the 
standard library., A blank line. C++ ignores white space. But we use it 
to make the code more readable., Another thing that always appear in a C++ program, is ,. This is called a 
,. Any code inside its curly brackets , will be executed.
, , (pronounced ""see-out"") is an 
, used together with the , (,) 
to output/print text. In our example it will output ""Hello World""., Every C++ statement ends with a semicolon ,., The body of , could also been written as:,
, The compiler ignores white spaces. However, multiple lines makes the code more readable., , ends the main function., Do not forget to add the closing curly bracket , to actually end the 
main function.,You might see some C++ programs that runs without the standard namespace library. The , line can be omitted and replaced with the , keyword, 
followed by the , operator 
for some objects:",,,
C++ ,Variables,"C++ Variables,Declaring (Creating) Variables,Other Types,Display Variables,Add Variables Together","Syntax,Example,Example,Example,Example,Example,Example","Variables are containers for storing data values. ,In C++, there are different , of variables (defined with different keywords), for example:,To create a variable, specify the type and assign it a value:,Where , is one of C++ types (such as ,), and 
, is the name of the variable (such as , or
,). The , is used to assign values to the variable.,To create a variable that should store a number, look at the following example:,You can also declare a variable without assigning the value, and assign the value later:,Note that if you assign a new value to an existing variable, it will overwrite the previous value:,A demonstration of other data types:,The , object is used together with the , 
operator to display variables.,To combine both text and a variable, separate them with the , 
operator:,To add a variable to another variable, you can use the , 
operator:"," - stores integers (whole numbers), without decimals, such as 123 or -123, - stores floating point numbers, with decimals, such as 19.99 or -19.99, - stores single characters, such as 'a' or 'B'. 
 Char values are surrounded by single quotes, - stores text, such as ""Hello World"". 
 String values are surrounded by double quotes, - stores values with two states: 
 true or false",,
